gene_id,EE_50-0,EE_50-30,EE_50-60,EE_50-90,EE_50-120,EE_50-150,EE_50-180,EE_50-210,EE_50-240,EE_50-300,EE_50-330,EE_50-360,EE_50-390,EE_50-420,EE_50-450,EE_50-480,EE_50-510,EE_50-540,EE_50-570,EE_50-600,EE_50-630,EE_50-660,EE_50-690,EE_50-720,L1,LIN35,L2,L3,L4,L4MALE,YA,AdultSPE9,DauerEntryDAF2,DauerDAF2,DauerExitDAF2
F26B1.2,249.51,195.81099999999998,169.77700000000002,200.304,160.697,109.514,160.17600000000002,151.722,137.786,199.733,187.597,294.70099999999996,204.479,196.203,158.22,164.248,152.28799999999998,185.71400000000003,130.253,132.251,97.3518,90.84,102.751,100.574,65.6694,51.8263,80.8265,100.456,105.594,39.8981,179.38400000000001,307.627,57.5813,57.1901,80.771
F26B1.7,0.0,0.10605999999999999,0.0945164,1.58385,0.462766,6.34206,4.22133,3.58279,1.8897599999999999,29.041999999999998,25.983,26.3673,24.6212,23.5032,28.3427,27.1775,26.9341,28.4319,23.2431,24.745,21.5306,18.672,19.5659,20.9738,2.3318,1.92398,3.3393699999999997,1.25773,0.703114,0.831734,0.7456470000000001,0.641899,3.4480199999999996,3.14511,1.94498
K04F10.4,138.961,124.8,90.0819,92.3661,77.0564,10.158,8.14588,9.53973,4.13184,58.2458,77.9019,56.556000000000004,56.2254,70.946,81.205,84.8157,76.7568,102.234,97.883,133.58100000000002,117.135,118.39,118.556,100.53200000000001,32.6038,43.8247,77.6341,86.0566,68.6248,105.479,98.7105,115.93700000000001,109.225,82.9864,74.8337
K04F10.1,1.31388,0.904783,1.70973,2.68269,1.33653,3.16332,1.8157,2.40516,3.1566099999999997,10.7373,8.51367,12.8498,7.96,11.6877,11.5126,10.3679,7.7956199999999995,9.40611,11.1099,6.4003,6.312469999999999,6.98643,7.1226199999999995,8.16772,9.46088,6.5543,8.66131,6.823910000000001,4.11503,3.65774,3.7282900000000003,1.31569,10.1452,14.747,8.7985
K04F10.7,91.8773,132.071,99.6912,130.3,136.79399999999998,100.601,66.86,62.3957,42.8637,67.0112,59.4375,109.45,99.148,88.8694,79.2589,70.2469,61.6102,74.3994,75.0575,60.7216,56.293,48.1197,52.3881,60.4155,35.2891,34.6421,27.0491,28.3979,19.7506,21.6491,50.4094,54.9085,41.3315,58.653,26.3655
ZC308.1,21.3753,21.0312,21.6355,18.1943,21.5455,4.37841,3.09192,3.59659,1.25264,37.025,43.1697,45.1442,36.9973,40.7822,41.0019,34.0312,28.2694,34.0314,32.3193,40.7805,41.9859,44.1013,42.788000000000004,43.9937,24.3252,18.304000000000002,48.9222,35.9203,31.9783,34.2844,68.0244,88.2666,42.6988,40.4737,28.5619
ZC328.2,0.191859,0.671503,0.349028,0.988504,0.7184050000000001,1.3412,0.250107,0.574363,0.070905,1.3737,2.95875,1.32155,2.17644,1.5523799999999999,1.56856,2.77869,2.80985,3.5098300000000004,2.9958,3.29055,3.1253900000000003,5.36255,5.8025,9.47792,17.415,15.8991,14.1515,8.51944,5.8376,9.59191,6.52274,1.3479700000000001,23.2013,22.9493,17.8583
R10A10.2,80.4367,71.4909,65.8879,59.1623,62.6707,414.816,49.3051,43.7147,53.9732,90.796,46.7981,44.5584,63.8793,73.5398,72.0219,80.0492,87.9823,55.5799,85.2127,65.5392,88.7946,116.315,89.6245,135.781,19.6517,27.9533,25.3576,17.525,20.573,20.0123,39.7223,49.376999999999995,47.8099,54.2692,36.3437
F37E3.1,19.0741,51.9936,61.6568,49.3006,67.2759,41.1752,9.85443,14.8562,3.3403199999999997,61.2254,59.3965,64.3439,59.7154,56.8609,58.3592,44.7773,33.1357,35.7133,39.4406,31.9606,29.6487,33.0542,24.9044,32.2413,24.4797,15.3789,24.3248,26.2681,21.859,10.8708,46.6614,41.7751,14.4121,20.7659,18.2102
F37E3.2,0.0,0.0678913,0.0,0.046460800000000003,0.0,0.0,0.0288714,0.0,0.0740068,0.0559274,0.18796600000000002,0.0,0.0,0.365989,0.188756,0.4573,0.434475,0.119272,0.22392199999999998,0.322189,0.122349,0.138149,0.167023,0.462603,1.4136,0.090588,1.25756,0.337808,0.260681,0.129908,0.122135,0.044992000000000004,0.8790309999999999,1.1839899999999999,0.812466
